Type	Infrastructure	Concern	Level	Name	DOSC	DOSM	CDC	CDO	SLOC	RATIO
STRING	STRING	STRING	INTEGER	STRING	FLOAT	FLOAT	INTEGER	INTEGER	INTEGER	FLOAT
Accidental	CORBANS	Adaptation	0	CORBANS_ACC_Adaptation(Data)	0.851	0.993	11	223	2643	0.06
Accidental	CORBANS	Config&Connect	0	CORBANS_ACC_Config&Connect	0.947	0.995	27	465	6225	0.15
Accidental	CORBANS	Distribution	0	CORBANS_ACC_Distribution	0.987	0.997	109	349	879	0.02
Accidental	CORBANS	Exception	0	CORBANS_ACC_Exception	0.182	0.915	2	21	365	0.01
Accidental	CORBANS	Factory	0	CORBANS_ACC_Factory(Dynamism)	0.486	0.934	3	24	306	0.01
Accidental	CORBANS	Logging	0	CORBANS_ACC_Logging	0.76	0.97	6	69	1181	0.03
Optional	CORBANS	Persistence	0	CORBANS_ACC_Persistence	0.426	0.954	3	43	478	0.01
Accidental	CORBANS	Theading	0	CORBANS_ACC_Threading	0.719	0.932	7	62	818	0.02
Essential	CORBANS	Event	0	CORBANS_ESS_Event	0.848	0.906	8	17	79	0.00
Essential	CORBANS	Notification	0	CORBANS_ESS_Notification	0.917	0.994	25	371	4929	0.12
Essential	CORBANS	Protocol	0	CORBANS_ESS_Protocol(Management&Monitor)	0.898	0.995	21	371	3920	0.10
Essential	CORBANS	Publicatoin	0	CORBANS_ESS_Publication	0.831	0.992	10	184	2247	0.05
Essential	CORBANS	Routing	0	CORBANS_ESS_Routing&Matching	0.951	0.997	37	574	7042	0.17
Essential	CORBANS	Subscription	1	CORBANS_ESS_Subscription_API	0.945	0.997	28	540	7075	0.17
Essential	CORBANS	Subscription	1	CORBANS_ESS_Subscription_Parsing&Rep	0.866	0.986	33	156	2784	0.07
Optional	JavaSpaces	AccessControl	0	JavaSpaces_ACC_AccessControl	0.748	0.98	9	78	609	0.02
Accidental	JavaSpaces	Config&Connect	0	JavaSpaces_ACC_Config&Connect	0	0	1	1	131	0.00
